"","subject","display","screen","task","block","response","rt","correct","correctResponse","T1.pie","T1.reward","T1.fractalInfo","T1.fractalOut","T1.leftInfo","T1.rightInfo","T1.leftOut","T1.rightOut","mapping","T2.leftFractal","T2.rightFractal","T3.img"
"617","1","T1Trial","Outcome",1,"H","right","394",1,"right","pie13.png",1,"f2.png","f6.png","f2.png","pie13.png","f6.png","26.png","","","",""
"618","1","T1Trial","right",1,"H","","999.927",0,"right","pie13.png",1,"f2.png","f6.png","f2.png","pie13.png","f6.png","26.png","","","",""
"619","1","T1Trial","Blank",1,"H","","16.768",0,"right","pie13.png",1,"f2.png","f6.png","f2.png","pie13.png","f6.png","26.png","","","",""
"620","1","T1Trial","Progress",1,"H","","999.989",0,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","36.png","","","",""
"621","1","T1Trial","Pie",1,"H","","999.852",0,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","36.png","","","",""
"622","1","T1Trial","Wait",1,"H","","1500.207",0,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","36.png","","","",""
"623","1","T1Trial","Outcome",1,"H","right","390.4",1,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","36.png","","","",""
"624","1","T1Trial","right",1,"H","","999.842",0,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","36.png","","","",""
"625","1","T1Trial","Blank",1,"H","","16.814",0,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","36.png","","","",""
"626","1","T1Trial","Progress",1,"H","","1000.001",0,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","6.png","","","",""
"627","1","T1Trial","Pie",1,"H","","999.869",0,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","6.png","","","",""
"628","1","T1Trial","Wait",1,"H","","1500.087",0,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","6.png","","","",""
"629","1","T1Trial","Outcome",1,"H","right","362.4",1,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","6.png","","","",""
"630","1","T1Trial","right",1,"H","","1000.002",0,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","6.png","","","",""
"631","1","T1Trial","Blank",1,"H","","16.688",0,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","6.png","","","",""
"632","1","T1Trial","Progress",1,"H","","999.975",0,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
"633","1","T1Trial","Pie",1,"H","","999.954",0,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
