"","subject","task","display","screen","rt","response","T2.leftFractal","T2.rightFractal","trial","T2.chosenFractal"
"62","3",2,"T2Trial","Choice","884.5","right","fr0p0","fr0p13",14,"fr0p13"
"63","3",2,"T2Trial","Choice","969.2","left","fp13H","fp1H",15,"fp13H"
"64","3",2,"T2Trial","Choice","653.7","right","fp13L","fp13H",16,"fp13H"
"65","3",2,"T2Trial","Choice","652.9","right","fr1p13","fr1p1",17,"fr1p1"
"66","3",2,"T2Trial","Choice","659.8","left","fr0p13","fp13H",18,"fr0p13"
"67","3",2,"T2Trial","Choice","652","right","fp13L","fp13H",19,"fp13H"
"68","3",2,"T2Trial","Choice","609","right","fp13L","fp13H",20,"fp13H"
"69","3",2,"T2Trial","Choice","848","left","fr0p13","fp13H",21,"fr0p13"
"70","3",2,"T2Trial","Choice","611.8","right","fp1H","fp13H",22,"fp13H"
"71","3",2,"T2Trial","Choice","599.3","left","fr0p0","fr0p13",23,"fr0p0"
"72","3",2,"T2Trial","Choice","680.8","right","fp1H","fp13H",24,"fp13H"
"73","4",2,"T2Trial","Choice","1076.3","right","fp1H","fp13H",1,"fp13H"
"74","4",2,"T2Trial","Choice","1074.6","right","fp1H","fp13H",2,"fp13H"
"75","4",2,"T2Trial","Choice","986.1","right","fr0p13","fr0p0",3,"fr0p0"
"76","4",2,"T2Trial","Choice","957.1","right","fr1p1","fr1p13",4,"fr1p13"
"77","4",2,"T2Trial","Choice","793.1","left","fp13H","fp13L",5,"fp13H"
"78","4",2,"T2Trial","Choice","1003.2","right","fp13H","fp13L",6,"fp13L"
"79","4",2,"T2Trial","Choice","866.6","right","fr0p13","fp13H",7,"fp13H"
"80","4",2,"T2Trial","Choice","960.2","left","fr1p13","fr1p1",8,"fr1p13"
"81","4",2,"T2Trial","Choice","735.4","right","fr0p0","fp13L",9,"fp13L"
"82","4",2,"T2Trial","Choice","431","left","fp13H","fp1H",10,"fp13H"
"83","4",2,"T2Trial","Choice","449.3","right","fp13H","fr0p13",11,"fr0p13"
"84","4",2,"T2Trial","Choice","741.5","left","fp13L","fr0p0",12,"fp13L"
"85","4",2,"T2Trial","Choice","532.5","left","fr1p13","fr1p1",13,"fr1p13"
"86","4",2,"T2Trial","Choice","709.2","left","fr0p0","fr0p13",14,"fr0p0"
"87","4",2,"T2Trial","Choice","557.4","left","fp13H","fr0p13",15,"fp13H"
"88","4",2,"T2Trial","Choice","637.3","right","fr0p0","fp13L",16,"fp13L"
"89","4",2,"T2Trial","Choice","570.4","right","fp13H","fp13L",17,"fp13L"
"90","4",2,"T2Trial","Choice","680.9","right","fp13L","fp13H",18,"fp13H"
"91","4",2,"T2Trial","Choice","620.3","left","fr0p0","fr0p13",19,"fr0p0"
"92","4",2,"T2Trial","Choice","571.2","left","fr1p13","fr1p1",20,"fr1p13"
"93","4",2,"T2Trial","Choice","647.3","left","fr0p0","fr0p13",21,"fr0p0"
"94","4",2,"T2Trial","Choice","533.3","left","fp13L","fr0p0",22,"fp13L"
"95","4",2,"T2Trial","Choice","513.6","left","fp13H","fr0p13",23,"fp13H"
"96","4",2,"T2Trial","Choice","580.9","left","fp13H","fp1H",24,"fp13H"
"97","5",2,"T2Trial","Choice","824.8","right","fr1p13","fr1p1",1,"fr1p1"
