"","subject","task","display","screen","rt","response","T3.img","trial"
"80","2",3,"T3Trial","Rating Screen","2254.7",3,"21.png",8
"81","2",3,"T3Trial","Rating Screen","1623.3",1,"51.png",9
"82","2",3,"T3Trial","Rating Screen","2255.6",2,"61.png",10
"83","2",3,"T3Trial","Rating Screen","3336.2",1,"35.png",11
"84","2",3,"T3Trial","Rating Screen","2745.3",3,"50.png",12
"85","2",3,"T3Trial","Rating Screen","1947.8",2,"48.png",13
"86","2",3,"T3Trial","Rating Screen","1954.6",0,"57.png",14
"87","2",3,"T3Trial","Rating Screen","1899.7",2,"72.png",15
"88","2",3,"T3Trial","Rating Screen","1401.1",1,"52.png",16
"89","2",3,"T3Trial","Rating Screen","3137.2",1,"24.png",17
"90","2",3,"T3Trial","Rating Screen","3275",2,"7.png",18
"91","2",3,"T3Trial","Rating Screen","3577.3",3,"2.png",19
"92","2",3,"T3Trial","Rating Screen","1413.1",2,"38.png",20
"93","2",3,"T3Trial","Rating Screen","3664.4",1,"27.png",21
"94","2",3,"T3Trial","Rating Screen","2037.2",1,"18.png",22
"95","2",3,"T3Trial","Rating Screen","1523.6",2,"15.png",23
"96","2",3,"T3Trial","Rating Screen","1841.8",2,"30.png",24
"97","2",3,"T3Trial","Rating Screen","3074.1",2,"55.png",25
"98","2",3,"T3Trial","Rating Screen","1906.9",2,"68.png",26
"99","2",3,"T3Trial","Rating Screen","2752.5",1,"6.png",27
"100","2",3,"T3Trial","Rating Screen","3292.2",2,"63.png",28
"101","2",3,"T3Trial","Rating Screen","2663.5",3,"1.png",29
"102","2",3,"T3Trial","Rating Screen","2945.8",2,"25.png",30
"103","2",3,"T3Trial","Rating Screen","3047.6",2,"67.png",31
"104","2",3,"T3Trial","Rating Screen","2081.3",3,"36.png",32
"105","2",3,"T3Trial","Rating Screen","2373.2",1,"40.png",33
"106","2",3,"T3Trial","Rating Screen","1772",1,"9.png",34
"107","2",3,"T3Trial","Rating Screen","1973.6",2,"14.png",35
"108","2",3,"T3Trial","Rating Screen","3324.6",3,"45.png",36
"109","2",3,"T3Trial","Rating Screen","1974.5",2,"28.png",37
"110","2",3,"T3Trial","Rating Screen","7151.9",1,"8.png",38
"111","2",3,"T3Trial","Rating Screen","8681.1",2,"41.png",39
"112","2",3,"T3Trial","Rating Screen","2187.7",1,"5.png",40
"113","2",3,"T3Trial","Rating Screen","2993.4",2,"65.png",41
"114","2",3,"T3Trial","Rating Screen","1838.9",2,"37.png",42
"115","2",3,"T3Trial","Rating Screen","2105.7",0,"70.png",43
"116","2",3,"T3Trial","Rating Screen","1965.8",2,"33.png",44
"117","2",3,"T3Trial","Rating Screen","3034",1,"16.png",45
"118","2",3,"T3Trial","Rating Screen","3413",1,"66.png",46
"119","2",3,"T3Trial","Rating Screen","2441.9",1,"43.png",47
"120","2",3,"T3Trial","Rating Screen","1324.5",1,"20.png",48
"121","2",3,"T3Trial","Rating Screen","1644.3",1,"59.png",49
"122","2",3,"T3Trial","Rating Screen","1778.3",2,"26.png",50
"123","2",3,"T3Trial","Rating Screen","1539.3",1,"69.png",51
"124","2",3,"T3Trial","Rating Screen","7650.7",1,"53.png",52
"125","2",3,"T3Trial","Rating Screen","2463.4",3,"39.png",53
"126","2",3,"T3Trial","Rating Screen","5743.1",1,"31.png",54
"127","2",3,"T3Trial","Rating Screen","3280.9",2,"12.png",55
"128","2",3,"T3Trial","Rating Screen","3135.2",1,"23.png",56
"129","2",3,"T3Trial","Rating Screen","1588.7",1,"64.png",57
"130","2",3,"T3Trial","Rating Screen","1783.4",2,"58.png",58
"131","2",3,"T3Trial","Rating Screen","2553.8",2,"29.png",59
"132","2",3,"T3Trial","Rating Screen","2295",2,"49.png",60
"133","2",3,"T3Trial","Rating Screen","1985",2,"60.png",61
"134","2",3,"T3Trial","Rating Screen","1603.4",2,"22.png",62
"135","2",3,"T3Trial","Rating Screen","2918",2,"3.png",63
"136","2",3,"T3Trial","Rating Screen","1936.1",1,"34.png",64
"137","2",3,"T3Trial","Rating Screen","2050.5",2,"4.png",65
"138","2",3,"T3Trial","Rating Screen","1479.6",1,"10.png",66
"139","2",3,"T3Trial","Rating Screen","2799.2",1,"71.png",67
"140","2",3,"T3Trial","Rating Screen","1316.6",1,"17.png",68
"141","2",3,"T3Trial","Rating Screen","2387.7",2,"54.png",69
"142","2",3,"T3Trial","Rating Screen","1489.6",1,"19.png",70
"143","2",3,"T3Trial","Rating Screen","2714.7",3,"46.png",71
"144","2",3,"T3Trial","Rating Screen","2129.8",3,"11.png",72
"145","3",3,"T3Trial","Rating Screen","2784.1",2,"21.png",1
"146","3",3,"T3Trial","Rating Screen","2016.5",0,"51.png",2
"147","3",3,"T3Trial","Rating Screen","2276.9",3,"16.png",3
"148","3",3,"T3Trial","Rating Screen","1112",3,"65.png",4
"149","3",3,"T3Trial","Rating Screen","1495.2",0,"13.png",5
"150","3",3,"T3Trial","Rating Screen","1907.4",0,"42.png",6
"151","3",3,"T3Trial","Rating Screen","1664.6",3,"24.png",7
"152","3",3,"T3Trial","Rating Screen","1337.3",1,"19.png",8
"153","3",3,"T3Trial","Rating Screen","1100.2",1,"5.png",9
"154","3",3,"T3Trial","Rating Screen","1847.8",3,"60.png",10
"155","3",3,"T3Trial","Rating Screen","1052.3",0,"70.png",11
"156","3",3,"T3Trial","Rating Screen","1185.2",0,"58.png",12
"157","3",3,"T3Trial","Rating Screen","1325.7",3,"15.png",13
